ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,หมวด GL รอง,งบรอง,ใช้จริง,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,ป้ายกำกับ,สี,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-05-08,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 08/05/2025)
อบรมการอนุรักษ์พลังงานระบบปรับอากาศ,อบรมภายใน,อบรม,รอดำเนินการ,HROD,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม \-)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-06-05,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 05/06/2025)
อบรมการขับขี่รถโฟล์คลิฟท์อย่างถูกต้องและปลอดภัย (Forklift),อบรมภายใน,อบรม,รอดำเนินการ,Safety - HROD,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม \-)
อบรมความปลอดภัยในการทํางานกับสารเคมีอันตราย และการระงับเหตุฉุกเฉินกรณีสารเคมีรั่วไหล,อบรมภายใน,อบรม,รอดำเนินการ,Safety - HROD,,,,0.00,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม \-)
อบรมเครน 4 ผู้ ผู้บังคับ ผู้ให้สัญญาณ ผู้ยึดเกาะ และผู้ควบคุมการใช้รถปั้นจั่น (Crane) ชนิดเคลื่อนที่,อบรมภายใน,อบรม,รอดำเนินการ,Safety - HROD,,,,0.00,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม \-)
อบรมปั้นจั่น 4 ผู้ ผู้บังคับ ผู้ให้สัญญาณ ผู้ยึดเกาะ และผู้ควบคุมปั้นจั่นเหนือศรีษะ (Overhead Crane) ชนิดอยู่กับที่,อบรมภายใน,อบรม,รอดำเนินการ,HROD,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม \-)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-07-17,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 17/07/2025)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-08-14,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 14/08/2025)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-09-11,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 11/09/2025)
