ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,หมวด GL รอง,งบรอง,ใช้จริง,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,ป้ายกำกับ,สี,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
อบรมพัฒนาความรู้เกี่ยวกับความปลอดภัยในการทำงานสำหรับ จป.วิชาชีพ,อบรมภายใน,อบรม,รอดำเนินการ,HROD,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม \-)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-07-03,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 03/07/2025)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-09-11,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 11/09/2025)
สรุปปรับฐานค่าจ้างตามผลการทำงานประจำปี 2025,งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม \-)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-10-16,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 16/10/2025)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-11-13,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 13/11/2025)
Manager + Supervisor Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-12-11,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 11/12/2025)
ต่ออายุเว็บไซต์หางาน JobThai,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HROD,2026-10-01,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 1/10/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-11-21,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 21/11/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-12-12,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 12/12/2025)
S Group Meeting,งานประจำเดือน,ประชุม,รอดำเนินการ,HROD,2026-10-17,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 17/10/2025)
ทบทวนสวัสดิการ/เบี้ยเลี้ยง ประจำปี,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-11-03,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 3/11/2025)
กิจกรรมกีฬาประเพณี,กิจกรรมประจำปี,กิจกรรม,รอดำเนินการ,HR Team,2026-12-19,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 19/12/2025)
กำหนดปฏิทินวันหยุดประจำปี 2026,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-10-01,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 1/10/2025)
ยื่นขอใช้สิทธิ์คนพิการ ม.35 (ปี 2569 ไม่ยื่นใช้สิทธิ์ ม.35 เนื่องจากจำนวนคนพิการ ม.33 เพียงพอ),งานประจำเดือน,เอกสารราชการ,รอดำเนินการ,HRMS,2026-11-10,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 10/11/2025)
สรุปสถิติการมาทำงานประจำปี 2025 (ครั้งทีี่ 2),งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-12-19,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 19/12/2025)
วาง Budget ค่าจ้างค่าตอบแทนประจำปี 2026 (Paper Group),งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-10-31,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 31/10/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-11-27,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 27/11/2025)
มอบรางวัลเงินพิเศษรายปีประจำปี 2025,งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-12-25,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 25/12/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-10-23,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 23/10/2025)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-11-06,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 06/11/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-12-25,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 25/12/2025)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-10-02,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 02/10/2025)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-12-04,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 04/12/2025)
สารท่านประธาน,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HR Team,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม -)
วางแผนการเกษียณอายุงาน (คุยกับพนักงานอายุตัว 50 ปี ขึ้นไป),งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม -)
