ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,ใช้จริง,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
เจ้าหน้าที่ความปลอดภัยในการทำงาน ระดับ เทคนิค,อบรมตามกฎหมาย,อบรม,รอดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,7910,0,,,,รอยื่น,,
เจ้าหน้าที่ความปลอดภัยในการทำงาน ระดับ บริหาร,อบรมตามกฎหมาย,อบรม,รอดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,12650,0,,,,รอยื่น,,
เจ้าหน้าที่ความปลอดภัยในการทำงาน ระดับ หัวหน้างาน,อบรมตามกฎหมาย,อบรม,รอดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,12650,0,,,,รอยื่น,,
พัฒนาความรู้เกี่ยวกับความปลอดภัยฯ สำหรับ จป.วิชาชีพ,อบรมตามกฎหมาย,อบรม,รอดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,3000,0,,,,รอยื่น,,
Team Building,อบรมภายใน,อบรม,รอดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,50000,0,,,,ไม่ต้องยื่น,,
ค่าเครื่องแบบพนักงาน LKL,งานประจำเดือน,อื่นๆ,รอดำเนินการ,,,,LKL 711800000: ค่าเครื่องแบบพนง.,300000,0,,,,,,
ค่าเครื่องแบบพนักงาน LKS,งานประจำเดือน,อื่นๆ,รอดำเนินการ,,,,LKS 611800000: ค่าเครื่องแบบพนง.,30000,0,,,,,,
ความปลอดภัยในการทำงานเกี่ยวกับไฟฟ้าสำหรับลูกจ้างฯ,อบรมตามกฎหมาย,อบรม,รอดำเนินการ,วิม,,,785000000 : ค่าอบรมและสัมมนา-โรงงาน,28250,0,,,,รอยื่น,,
กีฬาประเพณี,กิจกรรมประจำปี,กิจกรรม,รอดำเนินการ,วิม / กี้,2026-12-18,,780900100: ค่าจัดเลี้ยงและสังสรรค์,320000,0,,,,,,
Org. Center,โปรเจคเสริม,โปรเจค,ใช้งานจริงแล้ว,ณัชรัญ (มิ้ว),,,,0,0,,,,,,ระบบโครงสร้างองค์กร (Organization Chart) และ ระบบรายละเอียดงาน (Job Description: JD)
HR Analylic platform,โปรเจคเสริม,โปรเจค,ใช้งานจริงแล้ว,ณัชรัญ (มิ้ว),,,,0,0,,,,,,
LearnLab,โปรเจคเสริม,โปรเจค,รวบรวมแนวคิด / วางแผน,กรณิกา (วิม),,,,0,0,,,,,,
Org. Center,โปรเจคเสริม,โปรเจค,รวบรวมแนวคิด / วางแผน,ณัฐวดี (วิคกี้),,,,0,0,,,,,,
Safety & Environment,โปรเจคเสริม,โปรเจค,รวบรวมแนวคิด / วางแผน,ศริญญา (พายุ) & เจริญรัตน์ (ขวัญ),,,,0,0,,,,,,
LeKise Health Care,โปรเจคเสริม,โปรเจค,ใช้งานจริงแล้ว,เจริญรัตน์ (ขวัญ),,,,0,0,,,,,,ระบบติดตามสุขภาพ
Index Online,ไอเดีย,ไอเดีย,กำลังดำเนินการ,วิม,,,,0,0,,,,,,รวบรวม Index ออนไลน์ / จัดทำระบบออนไลน์ร่วมกับ IT
Onboarding,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,0,0,,,,,,จัดทำ Program พี่สอนน้อง (พี่เลี้ยง)
ทะเบียนทรัพย์สิน,ไอเดีย,ไอเดีย,กำลังดำเนินการ,วิม,,,,0,0,,,,,,นำทะเบียนทรัพย์สินขึ้นระบบออนไลน์
ทะเบียนยา,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,0,0,,,,,,ทะเบียนยา / เบิกจ่ายยา / ตู้ยา
Line Official Account,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,0,0,,,,,,"สวัสดิการ, วันลา, ข่าวสาร"
งานรวบรวมเว็บไซต์,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,0,0,,,,,,"รวบรวมเว็บไซต์ / แบ่งกลุ่ม Link, ประสาน IT, Design Web"
OJT,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,0,0,,,,,,รวบรวม OJT จาก QP ของหน่วยงานต่างๆ
LSC Proposal 2027,ไอเดีย,ไอเดีย,กำลังดำเนินการ,วิม,,,,0,0,,,,,,"Drive LSC 2027, Proposal, งบประมาณ LSC & Center, แคตตาล็อคบริการ"
Project สุขภาพ,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,กำลังดำเนินการ,วิม,,,,0,0,,,,,,
ทุนการศึกษา,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,กำลังดำเนินการ,วิม,,,,0,0,,,,,,
เอกสาร Audit ก. นักซ่อม,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,เสร็จสิ้น,วิม,,,,0,0,,,,,,
Audit มอก. By TUV,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,เสร็จสิ้น,วิม,,,,0,0,,,,,,PM: กี้ PM: กี้
ต่ออายุเอกสาร ช่างไฟฟ้าภายในอาคาร,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,กำลังดำเนินการ,วิม,,,,0,0,,,,,,
ต่ออายุ Licence Canva Pro,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,เสร็จสิ้น,วิม,,,,0,0,,,,,,
สมัคร Licence Google Drive,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,รอดำเนินการ,วิม,,,,0,0,,,,,,
ต่ออายุ Licence Zoom Meeting Pro,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,รอดำเนินการ,วิม,,,,0,0,,,,,,
ต่ออายุ Website สมัครงาน (Job Thai),งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,รอดำเนินการ,วิม,,,781310200 ค่าโฆษณาทางสื่อ,55000,0,,,,,,781310200 ค่าโฆษณาทางสื่อ
