ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,หมวด GL รอง,งบรอง,ใช้จริง,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,ป้ายกำกับ,สี,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,เสร็จสิ้น,แอน,2026-01-15,,BB-HR-CT (Center),,,,,,,,3,,Plan Monthly HR,,,,,,,
งานประชุมบอร์ดผู้บริหารในเครือ,งานประจำเดือน,ประชุม,เสร็จสิ้น,ขวัญ,2026-01-21,,BB-HR-CT (Center),5000,,,3811,,,,5,,Plan Monthly HR,,,,,,,
ต่ออายุประกันภัยโรงงาน LKS,งานประจำเดือน,เอกสารราชการ,เสร็จสิ้น,ยุ,2026-01-31,,BB-OP-CT (Center),3600,,,3600,,,,,,Plan Monthly HR,,,,,,,
Well Care Clinic: เจาะน้ำตาล,กิจกรรมประจำปี,กิจกรรม,เสร็จสิ้น,"วิม, ขวัญ",2026-01-22,,HR-LSC (04-10),,,,,,,,,,Plan Monthly HR,,,,,,,
