ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,งบ,ใช้จริง,รายละเอียด
LeKise Health Care,โปรเจค,โปรเจค,ใช้งานจริงแล้ว,เจริญรัตน์ (ขวัญ),,,,,ระบบติดตามสุขภาพ
Index Online,ไอเดีย,ไอเดีย,กำลังดำเนินการ,วิม,,,,,รวบรวม Index ออนไลน์ / จัดทำระบบออนไลน์ร่วมกับ IT
Onboarding,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,,จัดทำ Program พี่สอนน้อง (พี่เลี้ยง)
ทะเบียนทรัพย์สิน,ไอเดีย,ไอเดีย,กำลังดำเนินการ,วิม,,,,,นำทะเบียนทรัพย์สินขึ้นระบบออนไลน์
ทะเบียนยา,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,,ทะเบียนยา / เบิกจ่ายยา / ตู้ยา
Line Official Account,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,,"สวัสดิการ, วันลา, ข่าวสาร"
งานรวบรวมเว็บไซต์,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,,"รวบรวมเว็บไซต์ / แบ่งกลุ่ม Link, ประสาน IT, Design Web"
OJT,ไอเดีย,ไอเดีย,รอดำเนินการ,วิม,,,,,รวบรวม OJT จาก QP ของหน่วยงานต่างๆ
LSC Proposal 2027,ไอเดีย,ไอเดีย,กำลังดำเนินการ,วิม,,,,,"Drive LSC 2027, Proposal, งบประมาณ LSC & Center, แคตตาล็อคบริการ"
Project สุขภาพ,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,กำลังดำเนินการ,วิม,,,,,
ทุนการศึกษา,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,กำลังดำเนินการ,วิม,,,,,
เอกสาร Audit ก. นักซ่อม,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,เสร็จสิ้น,วิม,,,,,
Audit มอก. By TUV,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,เสร็จสิ้น,วิม,,,,,PM: กี้
ต่ออายุเอกสาร ช่างไฟฟ้าภายในอาคาร,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,กำลังดำเนินการ,วิม,,,,,
ต่ออายุ Licence Canva Pro,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,เสร็จสิ้น,วิม,,,,,
สมัคร Licence Google Drive,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,รอดำเนินการ,วิม,,,,,
ต่ออายุ Licence Zoom Meeting Pro,งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,รอดำเนินการ,วิม,,,,,
ต่ออายุ Website สมัครงาน (Job Thai),งานประจำ/ต่ออายุ,งานประจำ/ต่ออายุ,รอดำเนินการ,วิม,,,55000,,781310200 ค่าโฆษณาทางสื่อ
